config,split,auroc,auprc,n,prevalence
seq,0,0.9400550795593635,0.8950746367278469,1646,0.2612393796443939
seq_pepstruct,0,0.9302029146266828,0.8730027992272354,1646,0.2612393796443939
seq_pepstruct_z,0,0.9317797582619339,0.8656440871001864,1646,0.2612393796443939
full,0,0.9420603197674418,0.8875441756916127,1646,0.2612393796443939
full_permz,0,0.939501415238678,0.8842856283024918,1646,0.2612393796443939
seq,1,0.9498728122685667,0.9259806457281234,1837,0.281981498003006
seq_pepstruct,1,0.9483374851077656,0.9165982579824442,1837,0.281981498003006
seq_pepstruct_z,1,0.9537923605398966,0.9208095638059914,1837,0.281981498003006
full,1,0.9486360616004286,0.9134998038130764,1837,0.281981498003006
full_permz,1,0.9605147224555868,0.9312674913422034,1837,0.281981498003006
seq,2,0.9455355477182478,0.8940474938608279,1692,0.26891252398490906
seq_pepstruct,2,0.9428127248660797,0.8984742798140203,1692,0.26891252398490906
seq_pepstruct_z,2,0.9322785541055548,0.8621406176079601,1692,0.26891252398490906
full,2,0.9353762648022954,0.8670668266493585,1692,0.26891252398490906
full_permz,2,0.9399530946014374,0.9000074261581418,1692,0.26891252398490906
seq,3,0.9349598061038404,0.8954085682607292,1736,0.2718893885612488
seq_pepstruct,3,0.9335166474468999,0.8764566552956612,1736,0.2718893885612488
seq_pepstruct_z,3,0.9362143987341772,0.8774532330767907,1736,0.2718893885612488
full,3,0.9399362730637202,0.8859750296697833,1736,0.2718893885612488
full_permz,3,0.9386389388006865,0.8859361034008084,1736,0.2718893885612488
seq,4,0.9533948426780221,0.9133284696756068,1943,0.27483272552490234
seq_pepstruct,4,0.9432965712660453,0.9042907133194795,1943,0.27483272552490234
seq_pepstruct_z,4,0.9448024072110004,0.8854441895477954,1943,0.27483272552490234
full,4,0.9360292182677968,0.8794450839920896,1943,0.27483272552490234
full_permz,4,0.9503698800913336,0.9128870142905132,1943,0.27483272552490234
seq,5,0.9234283123591801,0.8770351745673114,1670,0.2970059812068939
seq_pepstruct,5,0.9267616227949662,0.8832955630139057,1670,0.2970059812068939
seq_pepstruct_z,5,0.9276348780018684,0.8687078291068838,1670,0.2970059812068939
full,5,0.9225241454635378,0.8592554978538007,1670,0.2970059812068939
full_permz,5,0.931591574160576,0.890383572004285,1670,0.2970059812068939
seq,6,0.9532357397722273,0.9298616815770236,2153,0.3046911358833313
seq_pepstruct,6,0.9567692295159425,0.9323500112273213,2153,0.3046911358833313
seq_pepstruct_z,6,0.9508295045375302,0.9076214967044897,2153,0.3046911358833313
full,6,0.9517765205207163,0.9188912874702723,2153,0.3046911358833313
full_permz,6,0.9557672255079264,0.925405363941669,2153,0.3046911358833313
seq,7,0.9200726912021227,0.8234823233541301,1809,0.2741846442222595
seq_pepstruct,7,0.9321318453185269,0.8836857921940379,1809,0.2741846442222595
seq_pepstruct_z,7,0.9244442977176129,0.8717582613218956,1809,0.2741846442222595
full,7,0.9309771392772033,0.878709448492273,1809,0.2741846442222595
full_permz,7,0.9348911628135519,0.8884696018406376,1809,0.2741846442222595
seq,8,0.9196619981325864,0.8763748338233328,1640,0.27439025044441223
seq_pepstruct,8,0.9282446311858077,0.8721166817992557,1640,0.27439025044441223
seq_pepstruct_z,8,0.927689075630252,0.8571176908499475,1640,0.27439025044441223
full,8,0.9333977591036415,0.8697026575248498,1640,0.27439025044441223
full_permz,8,0.9353025210084033,0.8897222980574369,1640,0.27439025044441223
seq,9,0.9356218042639716,0.8873537535951108,1739,0.2742955684661865
seq_pepstruct,9,0.9312287573881928,0.8777679744581746,1739,0.2742955684661865
seq_pepstruct_z,9,0.9236611548007057,0.8655072386169576,1739,0.2742955684661865
full,9,0.9155860552116868,0.85683391726998,1739,0.2742955684661865
full_permz,9,0.9324588769614635,0.8756466519897383,1739,0.2742955684661865
